date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2022-08-26,3250.63,3266.27,3236.22,3232.28,3099275.5,-10.03,-0.31,3250.336,3263.38,3246.636,3286737.05,3195422.58,3057133.66
2022-08-25,3223.46,3248.35,3246.25,3199.12,3361961.75,31.05,0.97,3254.708,3267.447,3247.487,3333952.9,3185427.95,3055835.41
2022-08-24,3279.17,3281.88,3215.2,3212.39,3661405.75,-61.02,-1.86,3260.966,3270.989,3249.303,3264950.1,3149837.15,3031764.85
2022-08-23,3274.43,3284.6,3276.22,3262.63,3165663.5,-1.57,-0.05,3276.432,3272.471,3252.331,3184918.45,3041280.18,2973260.3
2022-08-22,3249.7,3278.17,3277.79,3247.19,3145378.75,19.71,0.6,3276.764,3269.592,3252.392,3158970.3,2984319.3,2944711.46
2022-08-19,3275.62,3286.49,3258.08,3258.06,3335354.75,-19.46,-0.59,3276.424,3265.506,3251.022,3104108.1,2924049.48,2923065.4
2022-08-18,3286.37,3289.14,3277.54,3270.56,3016947.75,-14.99,-0.46,3280.186,3262.401,3251.617,3036903.0,2865197.73,2906642.7
2022-08-17,3282.1,3296.0,3292.53,3263.35,3261247.5,14.65,0.45,3281.012,3253.551,3251.34,3034724.2,2824401.9,2921974.66
2022-08-16,3278.68,3295.02,3277.88,3271.57,3035922.75,1.79,0.06,3268.51,3240.665,3251.949,2897641.9,2823162.83,2909669.85
2022-08-15,3268.37,3286.89,3276.09,3261.82,2871067.75,-0.8,-0.02,3262.42,3231.504,3252.027,2809668.3,2913746.73,2915699.68
2022-08-12,3275.77,3288.22,3276.89,3272.84,2999329.25,-4.78,-0.15,3254.588,3229.891,3252.127,2743990.85,2918844.75,2946319.3
2022-08-11,3243.47,3281.67,3281.67,3237.9,3006053.75,51.65,1.6,3244.616,3227.526,3249.686,2693492.45,2926242.88,2986431.03
2022-08-10,3242.36,3253.17,3230.02,3217.81,2575836.0,-17.41,-0.54,3226.09,3227.617,3249.689,2614079.6,2913692.55,3014091.55
2022-08-09,3235.74,3248.77,3247.43,3227.54,2596054.75,10.5,0.32,3212.82,3232.191,3252.403,2748683.75,2905240.43,3051222.59
2022-08-08,3218.85,3237.97,3236.93,3214.08,2542680.5,9.9,0.31,3200.588,3235.192,3254.105,3017825.15,2905103.63,3088720.13
2022-08-05,3195.23,3228.89,3227.03,3184.45,2746837.25,37.99,1.19,3205.194,3236.538,3257.937,3093698.65,2922081.33,3132920.7
2022-08-04,3179.43,3191.0,3189.04,3155.7,2608989.5,25.37,0.8,3210.436,3240.832,3264.39,3158993.3,2948087.68,3157039.38
2022-08-03,3188.89,3217.55,3163.67,3159.46,3248856.75,-22.6,-0.71,3229.144,3249.128,3273.158,3213305.5,3019547.43,3193790.0
2022-08-02,3231.26,3231.26,3186.27,3155.19,3941761.75,-73.69,-2.26,3251.562,3263.233,3282.742,3061797.1,2996176.88,3223662.19
2022-08-01,3246.62,3264.3,3259.96,3225.55,2922048.0,6.72,0.21,3269.796,3272.549,3293.63,2792382.1,2917652.63,3232423.94
2022-07-29,3282.81,3294.8,3253.24,3246.37,3073310.5,-29.34,-0.89,3267.882,3274.363,3300.903,2750464.0,2973793.85,3265190.5
2022-07-28,3287.5,3305.71,3282.58,3277.11,2880550.5,6.82,0.21,3271.228,3271.845,3307.623,2737182.05,3046619.18,3286769.63
2022-07-27,3271.78,3282.57,3275.76,3265.73,2491314.75,-1.68,-0.05,3269.112,3271.761,3313.425,2825789.35,3114490.55,3333363.69
2022-07-26,3254.19,3282.41,3277.44,3246.04,2594686.75,27.05,0.83,3274.904,3272.614,3317.713,2930556.65,3197204.75,3429084.73
2022-07-25,3269.71,3273.18,3250.39,3243.03,2712457.5,-19.58,-0.6,3275.302,3273.017,3324.302,3042923.15,3272336.63,3505378.65
2022-07-22,3276.2,3293.64,3269.97,3246.73,3006900.75,-2.03,-0.06,3280.844,3279.336,3330.742,3197123.7,3343760.08,3576814.65
2022-07-21,3297.66,3300.53,3272.0,3272.0,3323587.0,-32.72,-0.99,3272.462,3287.947,3334.731,3356056.3,3365991.08,3621879.48
2022-07-20,3291.55,3308.35,3304.72,3287.74,3015151.25,25.29,0.77,3274.41,3297.187,3337.138,3403191.75,3368032.58,3656007.23
2022-07-19,3278.72,3283.93,3279.43,3256.02,3156519.25,1.33,0.04,3270.324,3302.25,3335.262,3463852.85,3451147.5,3693014.55
2022-07-18,3235.09,3278.47,3278.1,3226.23,3483460.25,50.04,1.55,3270.732,3314.71,3336.627,3501750.1,3547195.25,3732417.04
2022-07-15,3261.38,3288.92,3228.06,3228.06,3801563.75,-53.68,-1.64,3277.828,3327.443,3338.493,3490396.45,3556587.15,3764974.23
2022-07-14,3277.45,3299.25,3281.74,3261.49,3559264.25,-2.55,-0.08,3303.432,3343.401,3342.93,3375925.85,3526920.08,3772546.39
2022-07-13,3279.6,3297.02,3284.29,3266.48,3318456.75,2.82,0.09,3319.964,3355.089,3343.112,3332873.4,3552236.83,3811193.6
2022-07-12,3307.22,3319.25,3281.47,3277.08,3346005.5,-32.11,-0.97,3334.176,3362.812,3344.168,3438442.15,3660964.7,3920562.84
2022-07-11,3341.1,3341.1,3313.58,3297.01,3426692.0,-42.5,-1.27,3358.688,3375.586,3344.54,3592640.4,3738420.68,3978456.66
2022-07-08,3380.37,3386.31,3356.08,3354.12,3229210.75,-8.32,-0.25,3377.058,3382.147,3341.638,3622777.85,3809869.23,4026411.21
2022-07-07,3353.13,3375.86,3364.4,3332.31,3344002.0,9.05,0.27,3383.37,3381.514,3338.076,3677914.3,3877767.88,4084883.55
2022-07-06,3391.03,3391.03,3355.35,3333.1,3846300.5,-48.68,-1.43,3390.214,3377.089,3331.803,3771600.25,3943981.88,4129047.63
2022-07-05,3411.13,3424.84,3404.03,3372.06,4116996.75,-1.4,-0.04,3391.448,3368.274,3327.225,3883487.25,3934881.6,4153824.23
2022-07-04,3381.82,3405.62,3405.43,3364.09,3577379.25,17.79,0.53,3392.484,3358.543,3319.112,3884200.95,3917638.83,4149076.0
