date,上证综指,创业板
2011-02-15,2899.24,1087.72
2011-02-16,2923.9,1107.24
2011-02-17,2926.96,1115.33
2011-02-18,2899.79,1100.46
2011-02-21,2932.25,1117.67
2011-02-22,2855.52,1088.27
2011-02-23,2862.63,1114.05
2011-02-24,2878.6,1101.95
2011-02-25,2878.56,1095.1
2011-02-28,2905.05,1099.78
2011-03-01,2918.92,1098.0
2011-03-02,2913.81,1088.9
2011-03-03,2902.98,1064.31
2011-03-04,2942.31,1071.86
2011-03-07,2996.21,1078.11
2011-03-08,2999.94,1084.82
2011-03-09,3002.15,1087.3
2011-03-10,2957.14,1093.9
2011-03-11,2933.8,1101.76
2011-03-14,2937.63,1107.54
2011-03-15,2896.26,1094.95
2011-03-16,2930.8,1102.21
2011-03-17,2897.3,1078.37
2011-03-18,2906.89,1083.6
2011-03-21,2909.14,1070.6
2011-03-22,2919.14,1067.29
2011-03-23,2948.48,1076.56
2011-03-24,2946.71,1077.99
2011-03-25,2977.81,1072.34
2011-03-28,2984.0,1052.11
2011-03-29,2958.08,1019.04
2011-03-30,2955.77,1006.37
2011-03-31,2928.11,1008.3
2011-04-01,2967.41,1015.08
2011-04-06,3001.36,994.26
2011-04-07,3007.91,1004.41
2011-04-08,3030.02,1019.14
2011-04-11,3022.75,1002.8
2011-04-12,3021.37,1000.16
2011-04-13,3050.4,1020.75
2011-04-14,3042.64,1016.62
2011-04-15,3050.53,1010.06
2011-04-18,3057.33,1003.26
2011-04-19,2999.04,994.3
2011-04-20,3007.04,1008.18
2011-04-21,3026.67,1010.56
2011-04-22,3010.52,1004.65
2011-04-25,2964.95,975.17
2011-04-26,2938.98,958.29
2011-04-27,2925.41,942.54
2011-04-28,2887.04,904.15
2011-04-29,2911.51,912.72
2011-05-03,2932.19,922.07
2011-05-04,2866.02,903.98
2011-05-05,2872.4,914.59
2011-05-06,2863.89,918.28
2011-05-09,2872.46,931.77
2011-05-10,2890.63,931.21
2011-05-11,2883.42,929.95
2011-05-12,2844.08,909.26
2011-05-13,2871.03,909.77
2011-05-16,2849.07,906.34
2011-05-17,2852.77,895.15
2011-05-18,2872.77,890.79
2011-05-19,2859.57,884.89
2011-05-20,2858.46,875.43
2011-05-23,2774.57,840.9
2011-05-24,2767.06,870.94
2011-05-25,2741.74,842.35
2011-05-26,2736.53,830.92
2011-05-27,2709.95,822.94
2011-05-30,2706.36,834.32
2011-05-31,2743.47,846.32
2011-06-01,2743.57,851.17
2011-06-02,2705.18,833.74
2011-06-03,2728.02,847.54
2011-06-07,2744.3,847.71
2011-06-08,2750.29,844.98
2011-06-09,2703.34,828.02
2011-06-10,2705.14,824.03
2011-06-13,2700.38,829.36
2011-06-14,2730.04,838.47
2011-06-15,2705.43,827.53
2011-06-16,2664.28,810.71
2011-06-17,2642.82,802.64
2011-06-20,2621.25,791.76
2011-06-21,2646.48,795.61
2011-06-22,2649.32,791.51
2011-06-23,2688.25,814.44
2011-06-24,2746.21,832.32
2011-06-27,2758.23,843.86
2011-06-28,2759.2,844.18
2011-06-29,2728.48,836.38
2011-06-30,2762.08,845.92
2011-07-01,2759.36,855.27
2011-07-04,2812.82,876.17
2011-07-05,2816.35,883.42
2011-07-06,2810.48,894.28
2011-07-07,2794.27,899.8
2011-07-08,2797.77,894.91
2011-07-11,2802.69,903.31
2011-07-12,2754.58,891.52
2011-07-13,2795.48,913.09
2011-07-14,2810.44,932.78
2011-07-15,2820.17,951.14
2011-07-18,2816.69,946.12
2011-07-19,2796.98,927.3
2011-07-20,2794.21,930.83
2011-07-21,2765.89,915.37
2011-07-22,2770.79,923.99
2011-07-25,2688.75,887.06
2011-07-26,2703.03,892.54
2011-07-27,2723.49,915.55
2011-07-28,2708.78,919.4
2011-07-29,2701.73,913.28
2011-08-01,2703.78,927.38
2011-08-02,2679.26,932.12
2011-08-03,2678.49,945.51
2011-08-04,2684.04,937.47
2011-08-05,2626.42,919.18
2011-08-08,2526.82,877.44
2011-08-09,2526.07,878.76
2011-08-10,2549.18,891.75
2011-08-11,2581.51,915.49
2011-08-12,2593.17,926.3
2011-08-15,2626.77,942.48
2011-08-16,2608.17,933.14
2011-08-17,2601.26,936.16
2011-08-18,2559.47,915.68
2011-08-19,2534.36,912.42
2011-08-22,2515.86,910.61
2011-08-23,2554.02,936.42
2011-08-24,2541.09,940.2
2011-08-25,2615.26,942.94
2011-08-26,2612.19,952.81
2011-08-29,2576.41,954.03
2011-08-30,2566.59,934.18
2011-08-31,2567.34,921.49
2011-09-01,2556.04,917.75
2011-09-02,2528.28,909.85
2011-09-05,2478.74,883.87
2011-09-06,2470.52,874.74
2011-09-07,2516.09,899.61
2011-09-08,2498.94,891.93
2011-09-09,2497.75,881.58
2011-09-13,2471.3,861.92
2011-09-14,2484.83,876.95
2011-09-15,2479.05,875.86
2011-09-16,2482.34,874.88
2011-09-19,2437.79,854.71
2011-09-20,2447.75,856.81
2011-09-21,2512.96,881.03
2011-09-22,2443.06,852.92
2011-09-23,2433.16,843.48
2011-09-26,2393.18,829.35
2011-09-27,2415.05,830.88
2011-09-28,2392.06,817.52
2011-09-29,2365.34,791.89
